2021-01-20 오후 8:59:21	이 로그에는 사용자 'agohd'이(가) 컴퓨터 'SOLDIERSOLDA'의 프로젝트 'DotNetNote.Database'(으)로 스키마를 가져오는 작업에 대한 정보가 들어 있습니다.
2021-01-20 오후 8:59:26	CHECK 제약 조건을 모으고 있습니다.
2021-01-20 오후 8:59:26	뷰를 모으고 있습니다.
2021-01-20 오후 8:59:26	암호화된 뷰를 모으고 있습니다.
2021-01-20 오후 8:59:26	인덱스를 모으고 있습니다.
2021-01-20 오후 8:59:26	통계를 모으고 있습니다.
2021-01-20 오후 8:59:26	전체 텍스트 인덱스 중지 목록을 모으고 있습니다.
2021-01-20 오후 8:59:26	검색 속성 목록을 모으고 있습니다.
2021-01-20 오후 8:59:26	검색 속성을 모으고 있습니다.
2021-01-20 오후 8:59:26	전체 텍스트 인덱스를 모으고 있습니다.
2021-01-20 오후 8:59:26	열 저장 인덱스를 가져오고 있습니다.
2021-01-20 오후 8:59:26	공간 인덱스를 모으고 있습니다.
2021-01-20 오후 8:59:26	XML 인덱스를 모으고 있습니다.
2021-01-20 오후 8:59:26	선택적 XML 인덱스를 모으고 있습니다.
2021-01-20 오후 8:59:26	암호화된 트리거를 모으고 있습니다.
2021-01-20 오후 8:59:26	트리거를 모으고 있습니다.
2021-01-20 오후 8:59:26	암호화 및 clr ddl 트리거를 모으고 있습니다.
2021-01-20 오후 8:59:26	ddl 트리거를 모으고 있습니다.
2021-01-20 오후 8:59:26	동의어를 모으고 있습니다.
2021-01-20 오후 8:59:26	기본값을 모으고 있습니다.
2021-01-20 오후 8:59:26	데이터 제약 조건 uddt 바인딩을 모으고 있습니다.
2021-01-20 오후 8:59:26	규칙을 모으고 있습니다.
2021-01-20 오후 8:59:26	데이터 제약 조건 uddt 바인딩을 모으고 있습니다.
2021-01-20 오후 8:59:26	메시지 유형을 모으고 있습니다.
2021-01-20 오후 8:59:26	큐를 모으고 있습니다.
2021-01-20 오후 8:59:26	계약을 모으고 있습니다.
2021-01-20 오후 8:59:26	서비스를 모으고 있습니다.
2021-01-20 오후 8:59:26	이벤트 알림을 모으고 있습니다.
2021-01-20 오후 8:59:26	원격 서비스 바인딩을 모으고 있습니다.
2021-01-20 오후 8:59:26	Broker 우선 순위를 모으고 있습니다.
2021-01-20 오후 8:59:26	서명을 모으고 있습니다.
2021-01-20 오후 8:59:26	데이터 압축 옵션을 모으고 있습니다.
2021-01-20 오후 8:59:26	시퀀스 유형을 모으고 있습니다.
2021-01-20 오후 8:59:26	보안 정책을 모으고 있습니다.
2021-01-20 오후 8:59:26	열 암호화 키 수집
2021-01-20 오후 8:59:26	열 마스터 키 수집 중
2021-01-20 오후 8:59:26	외부 데이터 원본 수집 중
2021-01-20 오후 8:59:26	외부 파일 형식 수집 중
2021-01-20 오후 8:59:26	외부 테이블 수집 중
2021-01-20 오후 8:59:26	확장 속성을 모으고 있습니다.
2021-01-20 오후 8:59:26	자격 증명을 모으고 있습니다.
2021-01-20 오후 8:59:26	로그인을 모으고 있습니다.
2021-01-20 오후 8:59:26	서버 감사를 모으고 있습니다.
2021-01-20 오후 8:59:26	프로젝트에서 중복 요소를 검색하고 있습니다.
2021-01-20 오후 8:59:27	중복 요소를 처리했습니다.
2021-01-20 오후 8:59:27	데이터베이스 가져오기를 완료했습니다.
2021-01-20 오후 8:59:27	가져오기 요약 정보가 다음 위치에 저장되었습니다. D:\csPractice\ASPNETBoard\DotNetNote.Database\스키마 로그 가져오기\DotNetNote.Database_20210120115921.log
2021-01-20 오후 8:59:27	계속하려면 [마침]을 클릭하십시오....
